,manufacturer,model,mileage,capacity,power,year,fuel,price,currency,city,county,status
0,Abarth,595,49280,1368,180,2020,Benzina,19990,EUR,Bucuresti,Bucuresti,Reactualizat 
1,Abarth,500,100400,1368,136,2009,Benzina,7900,EUR,Cluj-Napoca,Cluj,Reactualizat 
2,Abarth,595,49300,1368,180,2020,Benzina,18988,EUR,Ploiesti,Prahova,Publicat 
3,Abarth,595,53000,1368,180,2016,Benzina,16290,EUR,Brasov,Brasov,Reactualizat 
4,Abarth,595,29330,1368,145,2020,Benzina,18990,EUR,Bucuresti,Bucuresti,Reactualizat 
5,Abarth,124,123,1368,170,2023,Benzina,56000,EUR,Almas,Arad,Publicat 
6,Abarth,695,41630,1368,180,2018,Benzina,31990,EUR,Arad,Arad,Reactualizat 
7,Abarth,595,79800,1368,145,2017,Benzina,14990,EUR,Otopeni,Bucuresti,Reactualizat 
8,Abarth,595,106001,1368,160,2015,Benzina,10900,EUR,Simian,Mehedinti,Publicat 
9,Abarth,595,24900,1368,165,2019,Benzina,18999,EUR,Bucuresti,Bucuresti,Publicat 
10,Acura,Vigor,200000,1400,150,2022,Benzina,20000,EUR,Abram,Bihor,Reactualizat 
11,Acura,RDX,187000,2300,240,2008,Benzina,10800,EUR,Pitesti,Arges,Publicat 
12,Aixam,City,21000,0,8,2017,Electric,8600,EUR,Bucuresti,Bucuresti,Publicat 
13,Aixam,Coupe,10500,0,8,2022,Electric,15500,EUR,Bucuresti,Bucuresti,Reactualizat 
14,Aixam,Miniauto,5,500,9,2023,Diesel,11697,EUR,Bucuresti,Bucuresti,Publicat 
15,Aixam,Miniauto,2,500,9,2023,Diesel,13207,EUR,Bucuresti,Bucuresti,Publicat 
16,Aixam,Coupe,1,479,9,2023,Diesel,21107,EUR,Bucuresti,Bucuresti,Reactualizat 
17,Aixam,Crossover,0,0,9,2023,Electric,13750,EUR,Bucuresti,Bucuresti,Reactualizat 
18,Aixam,Coupe,0,0,9,2023,Electric,14900,EUR,Bucuresti,Bucuresti,Reactualizat 
19,Aixam,Coupe,1,0,9,2023,Electric,12890,EUR,Bucuresti,Bucuresti,Reactualizat 
20,Aixam,City,2,0,9,2023,Diesel,11000,EUR,Bucuresti,Bucuresti,Reactualizat 
21,Aixam,City,14000,479,8,2019,Electric,13799,EUR,Timisoara,Timis,Publicat 
22,Aixam,Coupe,30000,0,5,2016,Diesel,8900,EUR,Iasi,Iasi,Publicat 
23,Aixam,Coupe,2,500,5,2021,Diesel,8400,EUR,Craiova,Dolj,Publicat 
24,Aixam,Miniauto,2,500,8,2022,Electric,11686,EUR,Timisoara,Timis,Publicat 
25,Aro,Seria 10,13333,1400,90,1990,Benzina,3750,EUR,Suceava,Suceava,Publicat 
26,Alfa Romeo,Giulietta,244000,1598,105,2013,Diesel,6499,EUR,Timisoara,Timis,Reactualizat 
