,manufacturer,model,mileage,capacity,power,year,fuel,county,city,price
0,Abarth,595,30100,1368,145,2019,Benzina,Bucuresti,Bucuresti,16500
1,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
2,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
3,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
4,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
5,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
6,Abarth,500,31425,1368,180,2020,Benzina,Ilfov,Ilfov,24967
7,Abarth,500,71000,1368,136,2013,Benzina,Bucuresti,Bucuresti,8855
8,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
9,Abarth,500,43549,1368,180,2019,Benzina,Ilfov,Otopeni,21490
10,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
11,Abarth,124,16800,1368,170,2019,Benzina,Brasov,Brasov,31780
12,Abarth,500,71120,1368,146,2018,Benzina,Bucuresti,Bucuresti,16490
13,Abarth,595,29330,1368,145,2020,Benzina,Bucuresti,Bucuresti,17690
14,Abarth,500,5600,1368,145,2022,Benzina,Bucuresti,Bucuresti,24900
15,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
16,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
17,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
18,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,300000
19,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
20,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,200000
21,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
22,Abarth,124,123456,1234,123,2024,Benzina,Dambovita,Targoviste,20000
23,Abarth,595,30000,1368,165,2019,Benzina,Bucuresti,Bucuresti,17900
24,Abarth,595,111000,1368,160,2015,Benzina,Constanta,Constanta,14990
25,Abarth,595,58479,875,165,2017,Benzina,Neamt,Piatra,16700
26,Acura,EL,324,1236,123,2023,Benzina,Bucuresti,Bucuresti,12323
27,Acura,TLX,1,2184,140,2023,Benzina,Bucuresti,Bucuresti,35617
28,Aixam,Crossline,44000,599,15,2021,Diesel,Bucuresti,Bucuresti,12500
29,Aixam,Coupe,12225,0,8,2022,Electric,Timis,Timisoara,13500
30,Aixam,City,2,479,8,2023,Diesel,Timis,Timisoara,15675
31,Aixam,Miniauto,2,500,9,2023,Diesel,Timis,Timisoara,13208
32,Aixam,City,2,0,8,2023,Electric,Timis,Timisoara,16509
33,Aixam,Scouty,2,0,8,2023,Electric,Timis,Timisoara,15839
34,Aixam,Coupe,2,0,9,2024,Electric,Bucuresti,Bucuresti,20235
35,Aixam,City,20000,479,8,2021,Diesel,Arad,Arad,11000
36,Aixam,Coupe,2,479,8,2024,Diesel,Bucuresti,Bucuresti,16460
37,Aixam,City,2,479,8,2024,Diesel,Bucuresti,Bucuresti,15286
38,Aixam,Scouty,2,0,8,2024,Electric,Bucuresti,Bucuresti,16309
39,Aixam,Miniauto,2,500,8,2023,Diesel,Timis,Timisoara,11702
40,Aixam,City,23000,0,9,2021,Electric,Bihor,Oradea,8200
41,Aixam,Miniauto,2,0,8,2024,Electric,Timis,Timisoara,10867
42,Aixam,Miniauto,2,500,9,2023,Diesel,Bucuresti,Bucuresti,13208
43,Aixam,Miniauto,5,500,9,2023,Diesel,Bucuresti,Bucuresti,11702
44,Aixam,City,20000,0,6,2020,Electric,Bihor,Paleu,8500
45,Aixam,Crossover,2,0,8,2024,Electric,Bucuresti,Bucuresti,19324
46,Aixam,City,2,0,8,2024,Electric,Bucuresti,Bucuresti,11400
47,Aixam,Miniauto,2,0,8,2024,Electric,Bucuresti,Bucuresti,8900
48,Aixam,Scouty,2,0,8,2024,Electric,Bucuresti,Bucuresti,10551
49,Aixam,City,15000,0,10,2020,Electric,Brasov,Brasov,9800
50,Aixam,City,32270,0,8,2021,Electric,Arges,Pitesti,9000
51,Aixam,Crossline,57500,599,15,2021,Diesel,Prahova,Sinaia,12500
52,Aixam,City,16900,500,8,2019,Diesel,Bacau,Moinesti,10200
53,Aixam,Miniauto,43986,400,20,2017,Diesel,Hunedoara,Deva,5500
54,Aixam,Coupe,42000,0,10,2022,Electric,Sibiu,Slimnic,10500
55,Aixam,Crossline,17000,599,15,2020,Diesel,Bacau,Moinesti,13900
56,Aixam,City,15000,0,8,2022,Electric,Arges,Pitesti,13500
57,Alfa Romeo,Giulietta,244000,1598,105,2013,Diesel,Timis,Timisoara,6199
58,Alfa Romeo,159,289652,1910,150,2005,Diesel,Iasi,Miroslava,2900
59,Alfa Romeo,Giulia,219992,2143,180,2016,Diesel,Cluj,Cluj-Napoca,17999
60,Alfa Romeo,Stelvio,133386,2143,210,2018,Diesel,Bucuresti,Bucuresti,26989
61,Alfa Romeo,Stelvio,80000,2143,210,2018,Diesel,Bucuresti,Bucuresti,24990
62,Alfa Romeo,Stelvio,80000,2143,210,2018,Diesel,Bucuresti,Bucuresti,26489
63,Alfa Romeo,Stelvio,44500,2891,510,2020,Benzina,Brasov,Brasov,53950
64,Alfa Romeo,Stelvio,151000,1995,280,2017,Benzina,Braila,Braila,21990
65,Alfa Romeo,Giulia,154935,2143,180,2017,Diesel,Suceava,Suceava,16999
66,Alfa Romeo,Stelvio,198000,2143,190,2021,Diesel,Bucuresti,Bucuresti,24000
67,Alfa Romeo,Stelvio,17000,1995,280,2022,Benzina,Timis,Timisoara,49990
68,Alfa Romeo,Stelvio,106500,2143,210,2019,Diesel,Cluj,Cluj-Napoca,31000
69,Alfa Romeo,Spider,160049,1970,150,2001,Benzina,Ilfov,Ciorogarla,4400
70,Alfa Romeo,Brera,180915,2387,209,2009,Diesel,Ilfov,Ciorogarla,7400
71,Alfa Romeo,Brera,172000,2387,200,2007,Diesel,Dolj,Craiova,9000
72,Alfa Romeo,Giulia,62200,2000,200,2021,Benzina,Ilfov,Voluntari,31000
73,Alfa Romeo,Giulietta,203552,1598,105,2012,Diesel,Bacau,Nicolae,6990
74,Alfa Romeo,Stelvio,60000,1995,280,2020,Benzina,Brasov,Bran,28800
75,Alfa Romeo,147,127000,1598,105,2004,Benzina,Bacau,Bacau,1750
76,Alfa Romeo,159,270000,1956,170,2009,Diesel,Galati,Galati,4400
77,Alfa Romeo,Stelvio,198000,2143,210,2018,Diesel,Bucuresti,Bucuresti,19300
78,Alfa Romeo,Stelvio,200000,2143,210,2019,Diesel,Bucuresti,Bucuresti,19991
79,Alfa Romeo,Stelvio,134000,2143,210,2018,Diesel,Bucuresti,Bucuresti,22950
80,Alfa Romeo,Stelvio,217000,2000,280,2019,Benzina,Ilfov,Voluntari,28300
81,Alfa Romeo,Stelvio,173000,2143,180,2018,Diesel,Constanta,Constanta,20500
82,Alfa Romeo,Tonale,3980,1332,280,2023,Hibrid,Timis,Timisoara,54132
83,Alfa Romeo,Stelvio,60000,1995,201,2019,Benzina,Cluj,Cluj-Napoca,26504
84,Alfa Romeo,Giulietta,237000,1598,105,2011,Diesel,Prahova,Filipestii,5890
85,Alfa Romeo,Giulia,64000,1995,280,2020,Benzina,Bucuresti,Bucuresti,38800
86,Alfa Romeo,Giulietta,250000,1956,170,2010,Diesel,Satu,Satu,4400
87,Alfa Romeo,Stelvio,54147,1995,280,2019,Benzina,Ilfov,Tunari,31500
88,Alfa Romeo,GT,291000,1910,150,2004,Diesel,Harghita,Lazarea,3200
89,Alfa Romeo,Stelvio,9000,1995,280,2023,Benzina,Bucuresti,Bucuresti,55811
90,Alfa Romeo,Giulietta,247000,1598,105,2011,Diesel,Bucuresti,Bucuresti,5990
91,Alfa Romeo,Stelvio,17000,1995,280,2022,Benzina,Timis,Timisoara,49990
92,Alfa Romeo,Stelvio,91899,1995,280,2019,Benzina,Bucuresti,Bucuresti,29990
93,Alfa Romeo,Stelvio,109000,2143,210,2019,Diesel,Tulcea,Tulcea,29500
94,Alfa Romeo,Giulia,248000,2143,180,2017,Diesel,Cluj,Cluj-Napoca,16799
95,Alfa Romeo,Giulia,31000,2891,510,2022,Benzina,Bacau,Bacau,63200
96,Alfa Romeo,Tonale,5,1332,180,2023,Plug-in,Ilfov,Voluntari,44477
97,Alfa Romeo,Stelvio,97200,2143,210,2018,Diesel,Bucuresti,Bucuresti,29631
98,Alfa Romeo,159,236000,1956,170,2010,Diesel,Timis,Timisoara,4800
99,Alfa Romeo,Stelvio,102560,1995,280,2019,Benzina,Ilfov,Tunari,30990
100,Alfa Romeo,Stelvio,198990,2143,180,2018,Diesel,Maramures,Baia,16500
101,Alfa Romeo,Giulia,218500,2143,210,2017,Diesel,Arges,Pitesti,21800
102,Alfa Romeo,Stelvio,163000,1995,200,2018,Benzina,Bucuresti,Bucuresti,23600
103,Alfa Romeo,Giulietta,195000,1598,105,2015,Diesel,Galati,Galati,8490
104,Alfa Romeo,147,130000,1598,105,2005,Benzina,Sibiu,Sibiu,1640
105,Alfa Romeo,159,228000,2387,210,2008,Diesel,Prahova,Ploiesti,3000
106,Alfa Romeo,Giulia,76335,2143,180,2017,Diesel,Ilfov,Otopeni,20450
107,Alfa Romeo,Giulia,89700,1995,200,2019,Benzina,Bucuresti,Bucuresti,28888
108,Alfa Romeo,Stelvio,20000,1995,280,2022,Benzina,Timis,Timisoara,46001
109,Alfa Romeo,Giulia,190000,2143,150,2017,Diesel,Dambovita,Targoviste,14900
